SETTLEMENT_DATE,CUSIP,SYMBOL,QUANTITY_FAILS,DESCRIPTION,PRICE
20160205,808524763,FNDA,49054.0,SCHWAB FUNDAMENTAL U S SMALL C,25.75
20160205,922908611,VBR,78683.0,VANGUARD SMALL-CAP VALUE ETF,91.79
20160205,922908769,VTI,9346.0,VANGUARD TOTAL STOCK MARKET ET,97.26
20160208,36467W109,GME,4865.0,GAMESTOP CORP (HLDG CO) CL A,26.83
20160208,464287507,IJH,2059.0,ISHARES CORE S&P MID-CAP ETF,127.66
20160208,464287622,IWB,34070.0,ISHARES RUSSELL 1000 INDEX ETF,103.90
20160208,464287655,IWM,10210.0,ISHARES RUSSELL 2000 ETF,98.00
20160208,78464A714,XRT,240088.0,SPDR SERIES TR SPDR S&P RETAIL,39.11
20160208,808524763,FNDA,64199.0,SCHWAB FUNDAMENTAL U S SMALL C,25.17
20160208,922908611,VBR,8040.0,VANGUARD SMALL-CAP VALUE ETF,90.09
20160208,922908652,VXF,37429.0,VANGUARD EXTENDED MARKET ETF,73.28
20160208,922908769,VTI,16686.0,VANGUARD TOTAL STOCK MARKET ET,95.26
20160209,36467W109,GME,1991.0,GAMESTOP CORP (HLDG CO) CL A,27.89
20160209,464287507,IJH,23579.0,ISHARES CORE S&P MID-CAP ETF,125.43
20160209,464287622,IWB,1456.0,ISHARES RUSSELL 1000 INDEX ETF,102.32
20160209,464287655,IWM,760920.0,ISHARES RUSSELL 2000 ETF,96.43
20160209,78464A714,XRT,360391.0,SPDR SERIES TR SPDR S&P RETAIL,38.65
20160209,808524763,FNDA,69792.0,SCHWAB FUNDAMENTAL U S SMALL C,24.79
20160209,922908611,VBR,28813.0,VANGUARD SMALL-CAP VALUE ETF,88.79
20160209,922908652,VXF,40264.0,VANGUARD EXTENDED MARKET ETF,71.53
20160209,922908769,VTI,552.0,VANGUARD TOTAL STOCK MARKET ET,93.78
20160210,36467W109,GME,106.0,GAMESTOP CORP (HLDG CO) CL A,27.12
20160210,464287622,IWB,1329.0,ISHARES RUSSELL 1000 INDEX ETF,102.16
20160210,464287655,IWM,1066106.0,ISHARES RUSSELL 2000 ETF,95.82
20160210,78464A714,XRT,683431.0,SPDR SERIES TR SPDR S&P RETAIL,38.53
20160210,808524763,FNDA,108341.0,SCHWAB FUNDAMENTAL U S SMALL C,24.66
20160210,922908611,VBR,89170.0,VANGUARD SMALL-CAP VALUE ETF,88.37
20160210,922908652,VXF,11329.0,VANGUARD EXTENDED MARKET ETF,71.13
20160210,922908769,VTI,238.0,VANGUARD TOTAL STOCK MARKET ET,93.66
20160211,36467W109,GME,32111.0,GAMESTOP CORP (HLDG CO) CL A,26.65
20160211,464287622,IWB,7.0,ISHARES RUSSELL 1000 INDEX ETF,102.28
20160211,464287655,IWM,61975.0,ISHARES RUSSELL 2000 ETF,95.78
20160211,78464A714,XRT,769488.0,SPDR SERIES TR SPDR S&P RETAIL,38.51
20160211,808524763,FNDA,554372.0,SCHWAB FUNDAMENTAL U S SMALL C,24.70
20160211,922908611,VBR,35304.0,VANGUARD SMALL-CAP VALUE ETF,88.34
20160211,922908652,VXF,1039.0,VANGUARD EXTENDED MARKET ETF,71.30
20160211,922908769,VTI,1059.0,VANGUARD TOTAL STOCK MARKET ET,93.72
20160212,36467W109,GME,11593.0,GAMESTOP CORP (HLDG CO) CL A,26.67
20160212,464287507,IJH,1.0,ISHARES CORE S&P MID-CAP ETF,123.70
20160212,464287655,IWM,220585.0,ISHARES RUSSELL 2000 ETF,94.80
20160212,78464A714,XRT,811545.0,SPDR SERIES TR SPDR S&P RETAIL,38.39
20160212,808524763,FNDA,77729.0,SCHWAB FUNDAMENTAL U S SMALL C,24.34
20160212,922908611,VBR,72819.0,VANGUARD SMALL-CAP VALUE ETF,87.00
20160212,922908652,VXF,2330.0,VANGUARD EXTENDED MARKET ETF,70.30
20160212,922908769,VTI,1143.0,VANGUARD TOTAL STOCK MARKET ET,92.56
20160216,36467W109,GME,7218.0,GAMESTOP CORP (HLDG CO) CL A,26.98
20160216,464287507,IJH,10.0,ISHARES CORE S&P MID-CAP ETF,126.02
20160216,464287655,IWM,1845928.0,ISHARES RUSSELL 2000 ETF,96.60
20160216,78464A714,XRT,163048.0,SPDR SERIES TR SPDR S&P RETAIL,39.32
20160216,808524763,FNDA,101606.0,SCHWAB FUNDAMENTAL U S SMALL C,24.77
20160216,922908611,VBR,10372.0,VANGUARD SMALL-CAP VALUE ETF,88.67
20160216,922908652,VXF,8542.0,VANGUARD EXTENDED MARKET ETF,71.75
20160216,922908769,VTI,407.0,VANGUARD TOTAL STOCK MARKET ET,94.36
20160217,36467W109,GME,2800.0,GAMESTOP CORP (HLDG CO) CL A,28.00
20160217,464287655,IWM,314958.0,ISHARES RUSSELL 2000 ETF,98.88
20160217,78464A714,XRT,1204215.0,SPDR SERIES TR SPDR S&P RETAIL,40.90
20160217,808524763,FNDA,120657.0,SCHWAB FUNDAMENTAL U S SMALL C,25.32
20160217,922908611,VBR,2737.0,VANGUARD SMALL-CAP VALUE ETF,90.40
20160217,922908769,VTI,8987.0,VANGUARD TOTAL STOCK MARKET ET,96.08
20160218,36467W109,GME,14461.0,GAMESTOP CORP (HLDG CO) CL A,28.74
20160218,464287507,IJH,2008.0,ISHARES CORE S&P MID-CAP ETF,130.66
20160218,464287622,IWB,169.0,ISHARES RUSSELL 1000 INDEX ETF,106.53
20160218,464287655,IWM,76254.0,ISHARES RUSSELL 2000 ETF,100.41
20160218,78464A714,XRT,1748083.0,SPDR SERIES TR SPDR S&P RETAIL,41.75
20160218,808524763,FNDA,54855.0,SCHWAB FUNDAMENTAL U S SMALL C,25.74
20160218,922908611,VBR,33358.0,VANGUARD SMALL-CAP VALUE ETF,91.69
20160218,922908652,VXF,3.0,VANGUARD EXTENDED MARKET ETF,74.94
20160218,922908769,VTI,122678.0,VANGUARD TOTAL STOCK MARKET ET,97.67
20160219,36467W109,GME,422.0,GAMESTOP CORP (HLDG CO) CL A,29.24
20160219,464287507,IJH,2.0,ISHARES CORE S&P MID-CAP ETF,130.48
20160219,464287622,IWB,1108.0,ISHARES RUSSELL 1000 INDEX ETF,106.09
20160219,464287655,IWM,365051.0,ISHARES RUSSELL 2000 ETF,99.93
20160219,78464A714,XRT,138045.0,SPDR SERIES TR SPDR S&P RETAIL,41.67
20160219,808524763,FNDA,55178.0,SCHWAB FUNDAMENTAL U S SMALL C,25.70
20160219,922908611,VBR,15279.0,VANGUARD SMALL-CAP VALUE ETF,91.55
20160219,922908769,VTI,167.0,VANGUARD TOTAL STOCK MARKET ET,97.24
20160222,36467W109,GME,1110.0,GAMESTOP CORP (HLDG CO) CL A,28.19
20160222,464287622,IWB,1124.0,ISHARES RUSSELL 1000 INDEX ETF,106.11
20160222,464287655,IWM,1837591.0,ISHARES RUSSELL 2000 ETF,100.42
20160222,78464A714,XRT,50523.0,SPDR SERIES TR SPDR S&P RETAIL,41.35
20160222,808524763,FNDA,48143.0,SCHWAB FUNDAMENTAL U S SMALL C,25.72
20160222,922908611,VBR,33533.0,VANGUARD SMALL-CAP VALUE ETF,91.50
20160222,922908652,VXF,3882.0,VANGUARD EXTENDED MARKET ETF,74.83
20160222,922908769,VTI,1861.0,VANGUARD TOTAL STOCK MARKET ET,97.30
20160223,36467W109,GME,1799.0,GAMESTOP CORP (HLDG CO) CL A,29.21
20160223,464287507,IJH,411.0,ISHARES CORE S&P MID-CAP ETF,132.11
20160223,464287622,IWB,1.0,ISHARES RUSSELL 1000 INDEX ETF,107.62
20160223,464287655,IWM,4581899.0,ISHARES RUSSELL 2000 ETF,101.59
20160223,78464A714,XRT,348.0,SPDR SERIES TR SPDR S&P RETAIL,42.06
20160223,922908611,VBR,18630.0,VANGUARD SMALL-CAP VALUE ETF,92.79
20160223,922908652,VXF,132874.0,VANGUARD EXTENDED MARKET ETF,75.86
20160223,922908769,VTI,284.0,VANGUARD TOTAL STOCK MARKET ET,98.72
20160224,36467W109,GME,17773.0,GAMESTOP CORP (HLDG CO) CL A,29.44
20160224,464287507,IJH,3.0,ISHARES CORE S&P MID-CAP ETF,130.94
20160224,464287622,IWB,1099.0,ISHARES RUSSELL 1000 INDEX ETF,106.37
20160224,464287655,IWM,5581867.0,ISHARES RUSSELL 2000 ETF,100.62
20160224,78464A714,XRT,2089.0,SPDR SERIES TR SPDR S&P RETAIL,42.15
20160224,808524763,FNDA,2582.0,SCHWAB FUNDAMENTAL U S SMALL C,25.89
20160224,922908611,VBR,31242.0,VANGUARD SMALL-CAP VALUE ETF,91.92
20160224,922908652,VXF,122206.0,VANGUARD EXTENDED MARKET ETF,75.14
20160224,922908769,VTI,1792.0,VANGUARD TOTAL STOCK MARKET ET,97.54
20160225,36467W109,GME,6851.0,GAMESTOP CORP (HLDG CO) CL A,29.89
20160225,464287507,IJH,1403.0,ISHARES CORE S&P MID-CAP ETF,131.82
20160225,464287622,IWB,510.0,ISHARES RUSSELL 1000 INDEX ETF,106.80
20160225,464287655,IWM,95272.0,ISHARES RUSSELL 2000 ETF,101.60
20160225,78464A714,XRT,176172.0,SPDR SERIES TR SPDR S&P RETAIL,42.66
20160225,808524763,FNDA,39178.0,SCHWAB FUNDAMENTAL U S SMALL C,26.14
20160225,922908769,VTI,3603.0,VANGUARD TOTAL STOCK MARKET ET,98.03
